"","holiday_name","date"
"1","New Year's Day",1951-01-01
"2","Australia Day",1951-01-29
"3","Good Friday",1951-03-23
"4","Holy Saturday",1951-03-24
"5","Easter Monday",1951-03-26
"6","ANZAC Day (Many regions)",1951-04-25
"7","Christmas Day",1951-12-25
"8","Boxing Day",1951-12-26
"596","New Year's Day",1952-01-01
"597","Australia Day",1952-01-28
"598","Good Friday",1952-04-11
"599","Holy Saturday",1952-04-12
"600","Easter Monday",1952-04-14
"601","ANZAC Day (Many regions)",1952-04-25
"602","Christmas Day",1952-12-25
"603","Boxing Day",1952-12-26
"1191","New Year's Day",1953-01-01
"1192","Australia Day",1953-01-26
"1193","Good Friday",1953-04-03
"1194","Holy Saturday",1953-04-04
"1195","Easter Monday",1953-04-06
"1196","ANZAC Day (Many regions)",1953-04-25
"1197","Christmas Day",1953-12-25
"1198","Boxing Day",1953-12-26
"1787","New Year's Day",1954-01-01
"1788","Australia Day",1954-02-01
"1789","Good Friday",1954-04-16
"1790","Holy Saturday",1954-04-17
"1791","Easter Monday",1954-04-19
"1792","ANZAC Day (Many regions)",1954-04-25
"1793","Christmas Day",1954-12-25
"1794","Boxing Day",1954-12-26
"2408","New Year's Day",1955-01-01
"2409","Australia Day",1955-01-31
"2410","Good Friday",1955-04-08
"2411","Holy Saturday",1955-04-09
"2412","Easter Monday",1955-04-11
"2413","ANZAC Day (Many regions)",1955-04-25
"2414","Christmas Day",1955-12-25
"2415","Boxing Day",1955-12-26
"3025","New Year's Day",1956-01-01
"3026","Australia Day",1956-01-30
"3027","Good Friday",1956-03-30
"3028","Holy Saturday",1956-03-31
"3029","Easter Monday",1956-04-02
"3030","ANZAC Day (Many regions)",1956-04-25
"3031","Christmas Day",1956-12-25
"3032","Boxing Day",1956-12-26
"3660","New Year's Day",1957-01-01
"3661","Australia Day",1957-01-28
"3662","Good Friday",1957-04-19
"3663","Holy Saturday",1957-04-20
"3664","Easter Monday",1957-04-22
"3665","ANZAC Day (Many regions)",1957-04-25
"3666","Christmas Day",1957-12-25
"3667","Boxing Day",1957-12-26
"4293","New Year's Day",1958-01-01
"4294","Australia Day",1958-01-27
"4295","Good Friday",1958-04-04
"4296","Holy Saturday",1958-04-05
"4297","Easter Monday",1958-04-07
"4298","ANZAC Day (Many regions)",1958-04-25
"4299","Christmas Day",1958-12-25
"4300","Boxing Day",1958-12-26
"4924","New Year's Day",1959-01-01
"4925","Australia Day",1959-01-26
"4926","Good Friday",1959-03-27
"4927","Holy Saturday",1959-03-28
"4928","Easter Monday",1959-03-30
"4929","ANZAC Day (Many regions)",1959-04-25
"4930","Christmas Day",1959-12-25
"4931","Boxing Day",1959-12-26
"5554","New Year's Day",1960-01-01
"5555","Australia Day",1960-02-01
"5556","Good Friday",1960-04-15
"5557","Holy Saturday",1960-04-16
"5558","Easter Monday",1960-04-18
"5559","ANZAC Day (Many regions)",1960-04-25
"5560","Christmas Day",1960-12-25
"5561","Boxing Day",1960-12-26
"6294","New Year's Day",1961-01-01
"6295","Australia Day",1961-01-30
"6296","Good Friday",1961-03-31
"6297","Holy Saturday",1961-04-01
"6298","Easter Monday",1961-04-03
"6299","ANZAC Day (Many regions)",1961-04-25
"6300","Christmas Day",1961-12-25
"6301","Boxing Day",1961-12-26
"7035","New Year's Day",1962-01-01
"7036","Australia Day",1962-01-29
"7037","Good Friday",1962-04-20
"7038","Holy Saturday",1962-04-21
"7039","Easter Monday",1962-04-23
"7040","ANZAC Day (Many regions)",1962-04-25
"7041","Christmas Day",1962-12-25
"7042","Boxing Day",1962-12-26
"7815","New Year's Day",1963-01-01
"7816","Australia Day",1963-01-28
"7817","Good Friday",1963-04-12
"7818","Holy Saturday",1963-04-13
"7819","Easter Monday",1963-04-15
"7820","ANZAC Day (Many regions)",1963-04-25
"7821","Christmas Day",1963-12-25
"7822","Boxing Day",1963-12-26
"8600","New Year's Day",1964-01-01
"8601","Australia Day",1964-01-27
"8602","Good Friday",1964-03-27
"8603","Holy Saturday",1964-03-28
"8604","Easter Monday",1964-03-30
"8605","ANZAC Day (Many regions)",1964-04-25
"8606","Christmas Day",1964-12-25
"8607","Boxing Day",1964-12-26
"9392","New Year's Day",1965-01-01
"9393","Australia Day",1965-02-01
"9394","Good Friday",1965-04-16
"9395","Holy Saturday",1965-04-17
"9396","Easter Monday",1965-04-19
"9397","ANZAC Day (Many regions)",1965-04-25
"9398","Christmas Day",1965-12-25
"9399","Boxing Day",1965-12-26
"10190","New Year's Day",1966-01-01
"10191","Australia Day",1966-01-31
"10192","Good Friday",1966-04-08
"10193","Holy Saturday",1966-04-09
"10194","Easter Monday",1966-04-11
"10195","ANZAC Day (Many regions)",1966-04-25
"10196","Christmas Day",1966-12-25
"10197","Boxing Day",1966-12-26
"11011","New Year's Day",1967-01-01
"11012","Australia Day",1967-01-30
"11013","Good Friday",1967-03-24
"11014","Holy Saturday",1967-03-25
"11015","Easter Monday",1967-03-27
"11016","ANZAC Day (Many regions)",1967-04-25
"11017","Christmas Day",1967-12-25
"11018","Boxing Day",1967-12-26
"11856","New Year's Day",1968-01-01
"11857","Australia Day",1968-01-29
"11858","Good Friday",1968-04-12
"11859","Holy Saturday",1968-04-13
"11860","Easter Monday",1968-04-15
"11861","ANZAC Day (Many regions)",1968-04-25
"11862","Christmas Day",1968-12-25
"11863","Boxing Day",1968-12-26
"12765","New Year's Day",1969-01-01
"12766","Australia Day",1969-01-27
"12767","Good Friday",1969-04-04
"12768","Holy Saturday",1969-04-05
"12769","Easter Monday",1969-04-07
"12770","ANZAC Day (Many regions)",1969-04-25
"12771","Christmas Day",1969-12-25
"12772","Boxing Day",1969-12-26
"13641","New Year's Day",1970-01-01
"13642","Australia Day",1970-01-26
"13643","Good Friday",1970-03-27
"13644","Holy Saturday",1970-03-28
"13645","Easter Monday",1970-03-30
"13646","ANZAC Day (Many regions)",1970-04-25
"13647","Christmas Day",1970-12-25
"13648","Boxing Day",1970-12-26
"14535","New Year's Day",1971-01-01
"14536","Australia Day",1971-02-01
"14537","Good Friday",1971-04-09
"14538","Holy Saturday",1971-04-10
"14539","Easter Monday",1971-04-12
"14540","ANZAC Day (Many regions)",1971-04-25
"14541","Christmas Day",1971-12-25
"14542","Boxing Day",1971-12-26
"15442","New Year's Day",1972-01-01
"15443","Australia Day",1972-01-31
"15444","Good Friday",1972-03-31
"15445","Holy Saturday",1972-04-01
"15446","Easter Monday",1972-04-03
"15447","ANZAC Day (Many regions)",1972-04-25
"15448","Christmas Day",1972-12-25
"15449","Boxing Day",1972-12-26
"16338","New Year's Day",1973-01-01
"16339","Australia Day",1973-01-29
"16340","Good Friday",1973-04-20
"16341","Holy Saturday",1973-04-21
"16342","Easter Monday",1973-04-23
"16343","ANZAC Day (Many regions)",1973-04-25
"16344","Christmas Day",1973-12-25
"16345","Boxing Day",1973-12-26
"17248","New Year's Day",1974-01-01
"17249","Australia Day",1974-01-28
"17250","Good Friday",1974-04-12
"17251","Holy Saturday",1974-04-13
"17252","Easter Monday",1974-04-15
"17253","ANZAC Day (Many regions)",1974-04-25
"17254","Christmas Day",1974-12-25
"17255","Boxing Day",1974-12-26
"18184","New Year's Day",1975-01-01
"18185","Australia Day",1975-01-27
"18186","Good Friday",1975-03-28
"18187","Holy Saturday",1975-03-29
"18188","Easter Monday",1975-03-31
"18189","ANZAC Day (Many regions)",1975-04-25
"18190","Christmas Day",1975-12-25
"18191","Boxing Day",1975-12-26
"19137","New Year's Day",1976-01-01
"19138","Australia Day",1976-01-26
"19139","Good Friday",1976-04-16
"19140","Holy Saturday",1976-04-17
"19141","Easter Monday",1976-04-19
"19142","ANZAC Day (Many regions)",1976-04-25
"19143","Christmas Day",1976-12-25
"19144","Boxing Day",1976-12-26
"20114","New Year's Day",1977-01-01
"20115","Australia Day",1977-01-31
"20116","Good Friday",1977-04-08
"20117","Holy Saturday",1977-04-09
"20118","Easter Monday",1977-04-11
"20119","ANZAC Day (Many regions)",1977-04-25
"20120","Christmas Day",1977-12-25
"20121","Boxing Day",1977-12-26
"21082","New Year's Day",1978-01-01
"21083","Australia Day",1978-01-30
"21084","Good Friday",1978-03-24
"21085","Holy Saturday",1978-03-25
"21086","Easter Monday",1978-03-27
"21087","ANZAC Day (Many regions)",1978-04-25
"21088","Christmas Day",1978-12-25
"21089","Boxing Day",1978-12-26
"22077","New Year's Day",1979-01-01
"22078","Australia Day",1979-01-29
"22079","Good Friday",1979-04-13
"22080","Holy Saturday",1979-04-14
"22081","Easter Monday",1979-04-16
"22082","ANZAC Day (Many regions)",1979-04-25
"22083","Christmas Day",1979-12-25
"22084","Boxing Day",1979-12-26
"23109","New Year's Day",1980-01-01
"23110","Australia Day",1980-01-28
"23111","Good Friday",1980-04-04
"23112","Holy Saturday",1980-04-05
"23113","Easter Monday",1980-04-07
"23114","ANZAC Day (Many regions)",1980-04-25
"23115","Christmas Day",1980-12-25
"23116","Boxing Day",1980-12-26
